,startTime,endTime,control,transitionType,targetLocX,targetLocY,targetLocZ,targetRotX,targetRotY,targetRotZ,targetDimX,targetDimY,targetDimZ,targetType,uid,sid,cid,interfaceID,numClicks,draggingDuration,resetIKNum,topViewDuration,sideViewDuration,frontViewDuration,numViewSwitches,cycleLength
46,1604012014.535,1604012054.037,drag,press/release,3.1750351147652505,2.766513736858163,-3.58232612816891,0,45,90,0.17776021476822346,1.7821742366068056,0.33110726755759157,box,hpQCCzLfbxU17uCtcTEA8boKsm83,-MKqYrLqsUF8t0cMPAM2,-MKqZEj6bYf1I6R-OcDi,drag-press/release,18,1604012113.067,0,4.47,8.553,26.479,7,39.501999855041504
47,1604011928.537,1604011932.254,drag,press/release,5.551507733898791,2.304908297072741,0.7596913315855356,90,0,0,0.13843515989334249,0.13843515989334249,1.0,cylinder,hpQCCzLfbxU17uCtcTEA8boKsm83,-MKqYrLqsUF8t0cMPAM2,-MKqYujOJjiSvtaYJw_O,drag-press/release,2,1604011932.04,0,3.716,0.0,0.001,1,3.7170000076293945
48,1604011964.008,1604012010.437,drag,press/release,2.919916016772197,1.4420912905540568,1.0059058165240042,0,90,90,0.17776021476822346,1.7821742366068056,0.33110726755759157,box,hpQCCzLfbxU17uCtcTEA8boKsm83,-MKqYrLqsUF8t0cMPAM2,-MKqZ2Oc3PcSuBOj5kBH,drag-press/release,18,3208023988.06,0,67.275,-24.057,3.211,6,46.42900013923645
49,1604011936.544,1604011959.419,drag,press/release,3.591641643214581,1.1396924335728316,-3.775131602763192,0,0,90,0.17776021476822346,1.7821742366068056,0.33110726755759157,box,hpQCCzLfbxU17uCtcTEA8boKsm83,-MKqYrLqsUF8t0cMPAM2,-MKqYwgVhTiuUYt6OU7L,drag-press/release,10,17.883,0,28.57,-8.221,2.526,4,22.875
50,1604086067.645,1604086088.539,panel,press/release,4.433415163637298,1.7667947726995916,-1.407658004265159,90,0,0,0.1335667830832495,0.1335667830832495,1.0,cylinder,xJkhj3Hes5QQKvkX4YwMcKM1My23,-MKuybq6MiBKK0Srp5zc,-MKuyj5xC2exKqa0vLB9,panel-press/release,44,3208172153.952,0,0.001,12.451,8.442,4,20.89400005340576
51,1604086338.085,1604086495.919,panel,press/release,3.301949915236818,2.1344229534087695,-2.2281366697142277,0,90,90,0.1874048269596268,1.8593302664308113,0.38440096968753434,box,xJkhj3Hes5QQKvkX4YwMcKM1My23,-MKuybq6MiBKK0Srp5zc,-MKuzl7_1_KOjw0xfAlZ,panel-press/release,234,1604084771.382,2,-124.677,210.445,72.066,10,157.83399987220764
52,1604086093.753,1604086333.373,panel,press/release,2.5839328042718317,2.1769047084204973,-0.7014805388608374,0,0,90,0.1874048269596268,1.8593302664308113,0.38440096968753434,box,xJkhj3Hes5QQKvkX4YwMcKM1My23,-MKuybq6MiBKK0Srp5zc,-MKuypTtODqv4kH8kZca,panel-press/release,348,-758.291,2,211.65,74.662,-46.692,25,239.61999988555908
53,1604086501.277,1604086544.435,panel,press/release,2.1619066727163743,2.2078854495046225,0.5414206829870114,0,45,90,0.1874048269596268,1.8593302664308113,0.38440096968753434,box,xJkhj3Hes5QQKvkX4YwMcKM1My23,-MKuybq6MiBKK0Srp5zc,-MKv-NyS2LOTMWW6gMDJ,panel-press/release,54,12.381,0,0.001,17.36,25.797,5,43.157999992370605
54,1604086044.543,1604086062.389,panel,press/release,6.257845910544658,1.7783307622934568,-0.5615197850528378,90,0,0,0.1335667830832495,0.1335667830832495,1.0,cylinder,xJkhj3Hes5QQKvkX4YwMcKM1My23,-MKuybq6MiBKK0Srp5zc,-MKuydT-hAsDm8b96Bsr,panel-press/release,29,20.768,0,1.593,13.046,3.207,4,17.84599995613098
55,1604087044.348,1604087072.881,drag,press/release,2.1831907013524057,1.6552509585826605,-1.1421883778754283,0,45,90,0.14552094172146282,2.061004171882237,0.38522727247016103,box,1vR0JXgfnMfTo5bUAJErPXBdog93,-MKv-ZDRGtenv4GpFfVH,-MKv1SYwoEh6Uid9NHtf,drag-press/release,14,25.672,0,28.919,22.331,-22.717,3,28.532999992370605
