,startTime,endTime,control,transitionType,targetX,targetY,targetTheta,threshXY,threshTheta,uid,sid,cid,interfaceID,numClicks,draggingDuration,cycleLength,targetDistance
50,1599759062.525,1599759067.377,targetdrag,press/release,205.640116376102,179.92946725478987,156.78073231632567,28.632822389463673,38.303866191939065,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3WMxUu1AQvN34t3o,targetdrag-press/release,2,2.367,4.851999998092651,166.3747362562811
51,1599759071.652,1599759076.043,targetdrag,press/release,543.3595132622531,241.46600857364024,-138.9548823233638,6.35530831545346,55.285667126459686,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3YaZ9PQOT0tG8G8I,targetdrag-press/release,2,2.066,4.391000032424927,186.51174014028277
52,1599759080.172,1599759090.106,targetdrag,press/release,179.39290641132638,82.03259669894817,-74.32205521749042,9.502294095846693,24.581422702066003,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3_fgUGnk-U3O7zMv,targetdrag-press/release,4,5.555,9.934000015258789,243.76708854583296
53,1599759094.325,1599759099.769,targetdrag,press/release,308.009395096239,250.98943923975247,-145.88522068732797,26.72528322919775,45.16446426663562,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3d7p3GodNkQBcDxk,targetdrag-press/release,2,2.993,5.444000005722046,49.03098242259762
54,1599759103.863,1599759108.04,targetdrag,press/release,350.798626633553,362.4824631612255,-144.2190028417262,13.896323697365347,58.59304591223818,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3fSrhf-DhG5MiWCo,targetdrag-press/release,2,2.069,4.177000045776367,113.6517772706128
55,1599759112.259,1599759120.522,targetdrag,press/release,436.9373209997169,84.33502159876224,168.73626245696536,19.441907605207163,57.038115982402815,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3hW24UNq84_KxtiW,targetdrag-press/release,2,4.554,8.263000011444092,183.04242786985722
56,1599759124.897,1599759130.336,targetdrag,press/release,351.191729585069,261.5699521668328,63.10631970614028,17.621264075196407,24.51654737036664,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3kaXKIU5lDlThPlw,targetdrag-press/release,2,2.828,5.438999891281128,13.847010604799417
57,1599759134.39,1599759139.497,targetdrag,press/release,302.83246293424287,411.13765251775,0.9668017465961798,16.481457098713452,18.692362002937145,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3muqDP8uXQy0EofM,targetdrag-press/release,2,1.061,5.10699987411499,170.9466011236749
58,1599759143.869,1599759149.017,targetdrag,press/release,456.4539267382853,87.2271180740847,109.96492025343534,28.076879964062588,14.984298943706797,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3pDxiwFqb05uUWMR,targetdrag-press/release,2,2.189,5.148000001907349,189.89878585783626
59,1599759153.299,1599759174.307,targetdrag,press/release,360.6098805527253,265.38479592998885,-14.707084803130037,23.627894295716594,26.54751678589315,0PVGvqS893cOmDxgan51nj5CvBo1,-MGt2i5TLx33EGXNWN-8,-MGt3rXIPq-RirdWJdeg,targetdrag-press/release,8,14.348,21.007999897003174,16.777746430087795
